0.040, 0.120, 0.050, 0.133, 8.7036, 8.7036, 2.9946, 3.2230, 3.1233, 3.7929, 3.3400, 3.6082, 3.8949, 4.5361
0.160, 0.160, 0.200, 0.200, 7.0328, 7.0328, 3.1921, 3.8066, 3.1921, 3.8066, 3.5927, 4.2807, 4.0102, 4.6147
0.160, 0.280, 0.350, 0.267, 5.9901, 5.9901, 3.1921, 3.6398, 3.4197, 4.1394, 3.8949, 4.6282, 4.1347, 4.6294
0.280, 0.360, 0.400, 0.333, 5.1939, 5.1939, 3.4197, 3.9165, 3.5927, 4.1691, 4.0102, 4.4837, 4.2699, 4.5779
0.400, 0.360, 0.400, 0.400, 4.8185, 4.8185, 3.6871, 4.1396, 3.5927, 4.0340, 4.0102, 4.3335, 4.4181, 4.5782
0.480, 0.400, 0.400, 0.600, 4.3376, 4.3376, 3.8949, 4.1074, 3.6871, 3.9473, 4.0102, 4.1411, 4.9741, 4.5922
0.600, 0.440, 0.400, 0.600, 4.0614, 4.0614, 4.2699, 4.1448, 3.7875, 3.9080, 4.0102, 4.0307, 4.9741, 4.4265
0.520, 0.440, 0.400, 0.600, 4.1955, 4.1955, 4.0102, 4.1066, 3.7875, 3.9671, 4.0102, 4.0843, 4.9741, 4.5070
0.520, 0.480, 0.500, 0.600, 3.9971, 3.9971, 4.0102, 4.0034, 3.8949, 3.9440, 4.2699, 4.1335, 4.9741, 4.3879
0.520, 0.560, 0.500, 0.533, 3.9346, 3.9346, 4.0102, 3.9709, 4.1347, 4.0226, 4.2699, 4.1022, 4.7653, 4.3223
0.440, 0.520, 0.450, 0.533, 4.1955, 4.1955, 3.7875, 3.9671, 4.0102, 4.1066, 4.1347, 4.1621, 4.7653, 4.4615
0.560, 0.520, 0.450, 0.533, 3.9971, 3.9971, 4.1347, 4.0576, 4.0102, 4.0034, 4.1347, 4.0728, 4.7653, 4.3556
0.440, 0.520, 0.400, 0.400, 4.4118, 4.4118, 3.7875, 4.0622, 4.0102, 4.2190, 4.0102, 4.1708, 4.4181, 4.4155
0.480, 0.560, 0.400, 0.400, 4.2655, 4.2655, 3.8949, 4.0728, 4.1347, 4.2079, 4.0102, 4.1123, 4.4181, 4.3570
0.560, 0.720, 0.450, 0.133, 4.0614, 4.0614, 4.1347, 4.0936, 4.7653, 4.2585, 4.1347, 4.1017, 3.8949, 3.9171
0.560, 0.600, 0.400, 0.133, 4.3376, 4.3376, 4.1347, 4.2483, 4.2699, 4.3105, 4.0102, 4.1411, 3.8949, 3.9539
0.600, 0.600, 0.400, 0.333, 4.0614, 4.0614, 4.2699, 4.1448, 4.2699, 4.1448, 4.0102, 4.0307, 4.2699, 4.2004
0.400, 0.520, 0.400, 0.267, 4.6482, 4.6482, 3.6871, 4.0715, 4.0102, 4.3420, 4.0102, 4.2654, 4.1347, 4.2716
0.440, 0.600, 0.500, 0.400, 4.1275, 4.1275, 3.7875, 3.9371, 4.2699, 4.1845, 4.2699, 4.1987, 4.4181, 4.3018
0.440, 0.600, 0.500, 0.400, 4.1275, 4.1275, 3.7875, 3.9371, 4.2699, 4.1845, 4.2699, 4.1987, 4.4181, 4.3018
0.560, 0.560, 0.350, 0.400, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 3.8949, 4.0001, 4.4181, 4.3291
0.560, 0.560, 0.400, 0.333, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.0102, 4.0843, 4.2699, 4.2451
0.560, 0.560, 0.550, 0.333, 3.9971, 3.9971, 4.1347, 4.0576, 4.1347, 4.0576, 4.4181, 4.1865, 4.2699, 4.1790
0.400, 0.560, 0.400, 0.333, 4.4882, 4.4882, 3.6871, 4.0075, 4.1347, 4.3327, 4.0102, 4.2014, 4.2699, 4.3427
0.440, 0.680, 0.450, 0.467, 3.9971, 3.9971, 3.7875, 3.8797, 4.5819, 4.1842, 4.1347, 4.0728, 4.5819, 4.3090
0.440, 0.560, 0.350, 0.467, 4.3376, 4.3376, 3.7875, 4.0295, 4.1347, 4.2483, 3.8949, 4.0498, 4.5819, 4.4679
0.560, 0.640, 0.350, 0.333, 4.1275, 4.1275, 4.1347, 4.1307, 4.4181, 4.2321, 3.8949, 3.9763, 4.2699, 4.2225
0.560, 0.520, 0.450, 0.267, 4.2655, 4.2655, 4.1347, 4.2079, 4.0102, 4.1430, 4.1347, 4.1936, 4.1347, 4.1696
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.040, 0.200, 0.050, 0.200, 7.9991, 7.9991, 2.9946, 3.1948, 3.2642, 4.2112, 3.3400, 3.5729, 4.0102, 4.8080
0.160, 0.200, 0.250, 0.400, 6.2584, 6.2584, 3.1921, 3.6827, 3.2642, 3.8631, 3.6871, 4.3299, 4.4181, 5.1542
0.280, 0.320, 0.300, 0.467, 5.2959, 5.2959, 3.4197, 3.9450, 3.5038, 4.0772, 3.7875, 4.2400, 4.5819, 4.9151
0.320, 0.320, 0.400, 0.467, 5.0000, 5.0000, 3.5038, 3.9826, 3.5038, 3.9826, 4.0102, 4.4061, 4.5819, 4.7770
0.360, 0.400, 0.400, 0.533, 4.6482, 4.6482, 3.5927, 3.9727, 3.6871, 4.0715, 4.0102, 4.2654, 4.7653, 4.7029
0.400, 0.480, 0.400, 0.533, 4.4118, 4.4118, 3.6871, 3.9769, 3.8949, 4.1430, 4.0102, 4.1708, 4.7653, 4.5768
0.440, 0.520, 0.450, 0.400, 4.3376, 4.3376, 3.7875, 4.0295, 4.0102, 4.1804, 4.1347, 4.2260, 4.4181, 4.3859
0.480, 0.520, 0.450, 0.400, 4.2655, 4.2655, 3.8949, 4.0728, 4.0102, 4.1430, 4.1347, 4.1936, 4.4181, 4.3570
0.640, 0.560, 0.500, 0.400, 3.8737, 3.8737, 4.4181, 4.0697, 4.1347, 3.9885, 4.2699, 4.0718, 4.4181, 4.2003
0.560, 0.520, 0.500, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.0102, 4.1066, 4.2699, 4.2327, 4.1347, 4.1509
0.560, 0.600, 0.500, 0.267, 4.0614, 4.0614, 4.1347, 4.0936, 4.2699, 4.1448, 4.2699, 4.1657, 4.1347, 4.1151
0.560, 0.520, 0.500, 0.200, 4.2655, 4.2655, 4.1347, 4.2079, 4.0102, 4.1430, 4.2699, 4.2677, 4.0102, 4.0613
0.560, 0.600, 0.500, 0.267, 4.0614, 4.0614, 4.1347, 4.0936, 4.2699, 4.1448, 4.2699, 4.1657, 4.1347, 4.1151
0.560, 0.600, 0.500, 0.267, 4.0614, 4.0614, 4.1347, 4.0936, 4.2699, 4.1448, 4.2699, 4.1657, 4.1347, 4.1151
0.560, 0.520, 0.500, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.0102, 4.1066, 4.2699, 4.2327, 4.1347, 4.1509
0.560, 0.600, 0.400, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.2699, 4.2253, 4.0102, 4.0843, 4.1347, 4.1509
0.560, 0.600, 0.450, 0.267, 4.1275, 4.1275, 4.1347, 4.1307, 4.2699, 4.1845, 4.1347, 4.1314, 4.1347, 4.1328
0.560, 0.600, 0.450, 0.267, 4.1275, 4.1275, 4.1347, 4.1307, 4.2699, 4.1845, 4.1347, 4.1314, 4.1347, 4.1328
0.560, 0.520, 0.450, 0.267, 4.2655, 4.2655, 4.1347, 4.2079, 4.0102, 4.1430, 4.1347, 4.1936, 4.1347, 4.1696
0.560, 0.520, 0.550, 0.267, 4.1275, 4.1275, 4.1347, 4.1307, 4.0102, 4.0712, 4.4181, 4.2583, 4.1347, 4.1328
0.560, 0.600, 0.550, 0.267, 3.9971, 3.9971, 4.1347, 4.0576, 4.2699, 4.1062, 4.4181, 4.1865, 4.1347, 4.0980
0.520, 0.600, 0.550, 0.267, 4.0614, 4.0614, 4.0102, 4.0368, 4.2699, 4.1448, 4.4181, 4.2219, 4.1347, 4.1151
0.520, 0.480, 0.550, 0.133, 4.4118, 4.4118, 4.0102, 4.2190, 3.8949, 4.1430, 4.4181, 4.4146, 3.8949, 3.9638
0.720, 0.480, 0.550, 0.133, 4.0614, 4.0614, 4.7653, 4.2585, 3.8949, 3.9748, 4.4181, 4.2219, 3.8949, 3.9171
0.600, 0.520, 0.500, 0.133, 4.2655, 4.2655, 4.2699, 4.2673, 4.0102, 4.1430, 4.2699, 4.2677, 3.8949, 3.9443
0.600, 0.520, 0.500, 0.400, 3.9971, 3.9971, 4.2699, 4.1062, 4.0102, 4.0034, 4.2699, 4.1335, 4.4181, 4.2497
0.560, 0.520, 0.400, 0.333, 4.2655, 4.2655, 4.1347, 4.2079, 4.0102, 4.1430, 4.0102, 4.1123, 4.2699, 4.2685
0.560, 0.560, 0.500, 0.333, 4.0614, 4.0614, 4.1347, 4.0936, 4.1347, 4.0936, 4.2699, 4.1657, 4.2699, 4.2004
0.560, 0.560, 0.500, 0.267, 4.1275, 4.1275, 4.1347, 4.1307, 4.1347, 4.1307, 4.2699, 4.1987, 4.1347, 4.1328
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.560, 0.560, 0.450, 0.267, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.1347, 4.1621, 4.1347, 4.1509
0.040, 0.320, 0.050, 0.333, 7.0328, 7.0328, 2.9946, 3.1561, 3.5038, 4.6330, 3.3400, 3.5246, 4.2699, 5.1909
0.160, 0.400, 0.200, 0.467, 5.6241, 5.6241, 3.1921, 3.5812, 3.6871, 4.4619, 3.5927, 3.9990, 4.5819, 5.0683
0.240, 0.480, 0.200, 0.533, 5.0954, 5.0954, 3.3400, 3.7613, 3.8949, 4.4711, 3.5927, 3.8932, 4.7653, 4.9414
0.320, 0.560, 0.300, 0.600, 4.4882, 4.4882, 3.5038, 3.8188, 4.1347, 4.3327, 3.7875, 3.9977, 4.9741, 4.6826
0.400, 0.560, 0.400, 0.533, 4.2655, 4.2655, 3.6871, 3.9185, 4.1347, 4.2079, 4.0102, 4.1123, 4.7653, 4.4988
0.560, 0.560, 0.400, 0.533, 3.9971, 3.9971, 4.1347, 4.0576, 4.1347, 4.0576, 4.0102, 4.0050, 4.7653, 4.3556
0.520, 0.520, 0.400, 0.533, 4.1275, 4.1275, 4.0102, 4.0712, 4.0102, 4.0712, 4.0102, 4.0571, 4.7653, 4.4252
0.520, 0.520, 0.450, 0.467, 4.1275, 4.1275, 4.0102, 4.0712, 4.0102, 4.0712, 4.1347, 4.1314, 4.5819, 4.3699
0.560, 0.560, 0.450, 0.400, 4.0614, 4.0614, 4.1347, 4.0936, 4.1347, 4.0936, 4.1347, 4.1017, 4.4181, 4.2754
0.560, 0.560, 0.300, 0.400, 4.2655, 4.2655, 4.1347, 4.2079, 4.1347, 4.2079, 3.7875, 3.9309, 4.4181, 4.3570
0.600, 0.560, 0.350, 0.400, 4.1275, 4.1275, 4.2699, 4.1845, 4.1347, 4.1307, 3.8949, 3.9763, 4.4181, 4.3018
0.560, 0.560, 0.400, 0.400, 4.1275, 4.1275, 4.1347, 4.1307, 4.1347, 4.1307, 4.0102, 4.0571, 4.4181, 4.3018
0.560, 0.560, 0.400, 0.400, 4.1275, 4.1275, 4.1347, 4.1307, 4.1347, 4.1307, 4.0102, 4.0571, 4.4181, 4.3018
0.560, 0.560, 0.500, 0.200, 4.1955, 4.1955, 4.1347, 4.1688, 4.1347, 4.1688, 4.2699, 4.2327, 4.0102, 4.0473
0.560, 0.560, 0.450, 0.467, 3.9971, 3.9971, 4.1347, 4.0576, 4.1347, 4.0576, 4.1347, 4.0728, 4.5819, 4.3090
0.520, 0.480, 0.350, 0.400, 4.4118, 4.4118, 4.0102, 4.2190, 3.8949, 4.1430, 3.8949, 4.0758, 4.4181, 4.4155
0.560, 0.480, 0.400, 0.400, 4.2655, 4.2655, 4.1347, 4.2079, 3.8949, 4.0728, 4.0102, 4.1123, 4.4181, 4.3570
0.560, 0.520, 0.400, 0.400, 4.1955, 4.1955, 4.1347, 4.1688, 4.0102, 4.1066, 4.0102, 4.0843, 4.4181, 4.3291
0.560, 0.560, 0.500, 0.333, 4.0614, 4.0614, 4.1347, 4.0936, 4.1347, 4.0936, 4.2699, 4.1657, 4.2699, 4.2004
0.560, 0.560, 0.300, 0.200, 4.4882, 4.4882, 4.1347, 4.3327, 4.1347, 4.3327, 3.7875, 3.9977, 4.0102, 4.1058
0.600, 0.560, 0.350, 0.400, 4.1275, 4.1275, 4.2699, 4.1845, 4.1347, 4.1307, 3.8949, 3.9763, 4.4181, 4.3018
